,distBF,distRA,distSeaTac
2936,96977.7102673981,87979.41990828027,114637.57366063146
2937,100545.76053028322,78995.3860697174,75599.01672780218
2938,31345.483507788893,7836.693958065574,33204.194381117464
2939,62326.49626117352,80435.54722281013,93102.1188544831
2940,71574.48204582096,72212.81476035315,96665.15812876067
2941,56264.693854571306,47647.891951025376,25387.299794975694
2942,62757.14532866478,43904.806962055656,36687.4082273782
2943,34607.279339647495,25053.816839297575,6655.839077874404
2944,86006.92427299508,77867.04522721998,104455.36412947951
2945,54011.425314879525,74500.59856403645,84184.01747518026
2946,69000.10533130186,54703.1188485642,81135.73813266165
2947,34866.89260987667,36065.3781535852,10091.589438061708
2948,7606.525145346777,26710.477529157608,25663.08632562353
2949,24780.459644524835,43485.84779264904,55670.41829752619
2950,75687.65842104654,92850.59515528845,106531.51345964472
2951,47895.902582426585,41883.76463901986,67750.75507105922
2952,80150.2471486148,64310.34557321829,50559.79996712669
2953,42897.711179913495,19479.22343996853,42510.35536977767
2954,95917.56752546434,100302.27896363723,123446.82792787698
2955,74419.04339012373,91640.99944467447,105260.343238898
2956,39947.87233720997,28072.989787333965,54616.156420985295
2957,49941.42060844495,71708.33432786906,79438.80267051615
2958,83889.2749378113,86653.11197953443,110419.23169025265
2959,109739.33033093535,91449.78306140861,115882.78461182857
2960,126828.30435224473,106253.38843329094,99921.59649167882
2961,28184.525521453073,44463.4708829051,58870.98629444498
2962,88061.64716668848,103961.8340051075,118952.61075919354
2963,91527.65391109386,110445.6551659168,121961.76952842047
2964,75828.38879238343,84682.05075296444,58992.24692764561
2965,50148.70977773556,72496.64136464211,79140.92426510231
2966,53147.61051905198,66888.73651120118,83707.5032746163
2967,94400.77430267737,86657.46603974221,63998.19696702456
2968,14317.269332268648,28285.938725363707,20408.87315753523
2969,49680.452077371134,37468.374649782,64131.46328430861
2970,76464.45614288477,88354.28887832753,106793.56618620416
2971,89107.66686907025,106365.48355639935,119910.66065661385
2972,82842.27085109174,91472.73026721738,112187.39358575814
2973,18458.623723125336,42986.64513178546,42114.92112239243
2974,36987.543983045995,45425.01270140518,65395.329562133404
2975,85626.81959644565,102752.7144299818,116452.81240386059
2976,50765.66951174048,69594.28295376377,81492.33552288769
2977,50765.66951174048,69594.28295376377,81492.33552288769
